Month,Monthly beer production
Oct-90,194.1
Nov-90,208.6
Dec-90,197.3
Jan-91,164.4
Feb-91,148.1
Mar-91,152
Apr-91,144.1
May-91,155
Jun-91,124.5
Jul-91,153
Aug-91,146
Sep-91,138
Oct-91,190
Nov-91,192
Dec-91,192
Jan-92,147
Feb-92,133
Mar-92,163
Apr-92,150
May-92,129
Jun-92,131
Jul-92,145
Aug-92,137
Sep-92,138
Oct-92,168
Nov-92,176
Dec-92,188
Jan-93,139
Feb-93,143
Mar-93,150
Apr-93,154
May-93,137
Jun-93,129
Jul-93,128
Aug-93,140
Sep-93,143
Oct-93,151
Nov-93,177
Dec-93,184
Jan-94,151
Feb-94,134
Mar-94,164
Apr-94,126
May-94,131
Jun-94,125
Jul-94,127
Aug-94,143
Sep-94,143
Oct-94,160
Nov-94,190
Dec-94,182
Jan-95,138
Feb-95,136
Mar-95,152
Apr-95,127
May-95,151
Jun-95,130
Jul-95,119
Aug-95,153
