id,date,car,seat_color,car_color,value (US$ mi),value off (US$ mi),discount (%),total (US$ mi),salesperson,city,country
15,2017-1-8,Ferrari Pininfarina Sergio,black,black,2.0999999999999996,2.070542959610884,3,2.0084266708225575,Lorena,new york,united state
16,2017-1-11,Bugatti Chiron,red,blue,2.2380750000000003,2.217710840269839,1,2.1955337318671404,Cecília,new york,united state
17,2017-1-6,Bugatti Veyron by Mansory Vivere,red,black,2.499,2.462994370224758,1,2.4383644265225106,Valentina,new york,united state
18,2017-1-5,McLaren P1 LM,white,silver,2.77389,2.7402617262693068,3,2.6580538744812277,Maitê,new york,united state
19,2017-1-11,Ferrari Pininfarina Sergio,black,red,2.2049999999999996,2.181404354270635,3,2.115962223642516,Giovanna,new york,united state
20,2017-1-15,Koenigsegg CCXR Trevita,black,gold,3.528,3.4923280985700265,1,3.4574048175843264,Lorena,new york,united state
21,2017-1-13,Rolls-Royce Sweptail,brown,black,9.408,9.267635319853238,3,8.98960626025764,Lívia,new york,united state
22,2017-1-23,Ferrari Pininfarina Sergio,white,white,2.1848399999999994,2.150755757421584,3,2.0862330846989363,Mariana,new york,united state
23,2017-1-17,Aston Martin Valkyrie,black,silver,2.352,2.3276732944855834,0,2.3276732944855834,Cecília,new york,united state
24,2017-1-20,Bugatti Veyron by Mansory Vivere,brown,red,2.6239500000000002,2.5870506930282806,1,2.5611801860979977,Liz,new york,united state
25,2017-1-15,Bugatti Veyron by Mansory Vivere,black,blue,2.499,2.471043230741207,2,2.4216223661263827,Cecília,new york,united state
26,2017-1-22,Koenigsegg CCXR Trevita,red,black,3.528,3.4955324254656506,2,3.4256217769563375,Júlia,new york,united state
27,2017-1-7,McLaren P1 LM,black,gold,2.7195,2.6882604299164203,3,2.6076126170189275,Miguel,toronto,canada
28,2017-1-7,Bugatti Veyron by Mansory Vivere,black,red,2.499,2.469353627124067,2,2.4199665545815856,Rafael,lisboa,portugal
29,2017-1-14,Aston Martin Valkyrie,white,red,2.39904,2.3771794395835095,0,2.3771794395835095,Isaac,lisboa,portugal
30,2017-1-20,Lamborghini Veneno Roadster,red,gold,3.472875,3.4188434577498006,0,3.4188434577498006,Nicolas,lisboa,portugal
31,2017-1-14,Ferrari Pininfarina Sergio,black,blue,2.2049999999999996,2.1725716149181085,3,2.107394466470565,Rafael,lisboa,portugal
32,2017-1-9,Ferrari Pininfarina Sergio,black,silver,2.2049999999999996,2.172276263683712,0,2.172276263683712,Isaac,lisboa,portugal
33,2017-1-4,Bugatti Veyron by Mansory Vivere,black,blue,2.499,2.4615420714551797,3,2.3876958093115244,Rafael,lisboa,portugal
34,2017-1-7,Bugatti Veyron by Mansory Vivere,black,gold,2.499,2.4670443732822775,1,2.4423739295494546,Isaac,lisboa,portugal
35,2017-1-1,Bugatti La Voiture Noire,white,red,14.01939,13.801529871018568,2,13.525499273598196,Henrique,lisboa,portugal
36,2017-1-14,Bugatti La Voiture Noire,brown,silver,14.431724999999998,14.263384671431334,1,14.120750824717021,Henrique,lisboa,portugal
37,2017-1-6,Bugatti La Voiture Noire,white,white,13.618836,13.502325747499988,2,13.232279232549988,Isaac,lisboa,portugal
38,2017-1-19,Rolls-Royce Sweptail,brown,blue,9.8784,9.75834160468334,3,9.46559135654284,Nicolas,lisboa,portugal
39,2017-1-21,McLaren P1 LM,brown,blue,2.855475,2.819503749771041,2,2.76311367477562,Rafael,lisboa,portugal
40,2017-1-13,Aston Martin Valkyrie,brown,blue,2.4696,2.443676729263441,0,2.443676729263441,Henrique,lisboa,portugal
41,2017-1-1,Aston Martin Valkyrie,red,white,2.39904,2.3739034740213714,0,2.3739034740213714,Henrique,lisboa,portugal
42,2017-1-11,W Motors Lykan Hypersport,black,white,2.4276,2.4059811029345957,2,2.3578614808759037,Henrique,lisboa,portugal
43,2017-1-13,Koenigsegg CCXR Trevita,white,red,3.59856,3.5467155288928285,2,3.475781218314972,Nicolas,lisboa,portugal
44,2017-1-21,McLaren P1 LM,red,red,2.855475,2.8105503784210963,1,2.7824448746368855,Nicolas,lisboa,portugal
45,2017-1-17,W Motors Lykan Hypersport,red,black,2.499,2.4594294114682853,2,2.4102408232389196,Nicolas,lisboa,portugal
46,2017-1-8,Bugatti La Voiture Noire,red,blue,14.431724999999998,14.242091743633157,1,14.099670826196826,Nicolas,lisboa,portugal
47,2017-1-20,Lamborghini Veneno Roadster,brown,silver,3.472875,3.4269868378673634,3,3.3241772327313424,Nicolas,lisboa,portugal
48,2017-1-22,Bugatti Chiron,brown,black,2.1315,2.111624722236621,1,2.090508475014255,Nicolas,lisboa,portugal
49,2017-1-1,Bugatti Veyron by Mansory Vivere,black,gold,2.499,2.4678993591430354,0,2.4678993591430354,Sakura,tokio,japan
50,2017-1-6,Rolls-Royce Sweptail,brown,red,9.8784,9.76434671080547,1,9.666703243697414,Naomi,tokio,japan
51,2017-1-12,Bugatti Veyron by Mansory Vivere,black,silver,2.499,2.459385127710102,2,2.4101974251559,Hinata,tokio,japan
52,2017-1-15,McLaren P1 LM,black,white,2.6418,2.6146651796028677,0,2.6146651796028677,Hana,tokio,japan
53,2017-1-6,Bugatti Chiron,brown,gold,2.2380750000000003,2.212135278384469,2,2.16789257281678,Harumi,tokio,japan
54,2017-1-24,W Motors Lykan Hypersport,red,red,2.6239500000000002,2.5980866935578284,1,2.5721058266222503,Hana,tokio,japan
55,2017-1-9,Bugatti La Voiture Noire,white,gold,14.01939,13.820001960149062,1,13.68180194054757,Naomi,tokio,japan
56,2017-1-19,Bugatti Chiron,black,blue,2.1315,2.103389680100969,2,2.0613218864989493,Sakura,tokio,japan
57,2017-1-20,Bugatti La Voiture Noire,white,blue,14.01939,13.801537995192506,3,13.38749185533673,Akemi,tokio,japan
58,2017-1-2,McLaren P1 LM,white,blue,2.77389,2.7298691725347695,3,2.6479730973587263,Sakura,tokio,japan
59,2017-1-12,W Motors Lykan Hypersport,black,red,2.499,2.4769801984363378,3,2.4026707924832476,Saori,tokio,japan
60,2017-1-18,Lamborghini Veneno Roadster,white,gold,3.37365,3.3306278275261465,1,3.297321549250885,Hinata,tokio,japan
61,2017-1-7,McLaren P1 LM,black,gold,2.7195,2.6866406631628195,1,2.6597742565311915,Akemi,tokio,japan
62,2017-1-2,Koenigsegg CCXR Trevita,black,red,3.528,3.4954005463376783,0,3.4954005463376783,Naomi,tokio,japan
63,2017-1-18,Bugatti Chiron,red,red,2.2380750000000003,2.202433534238599,2,2.1583848635538274,Aisha,riad,Saudi Arabia
64,2017-1-3,Bugatti Veyron by Mansory Vivere,white,silver,2.5489800000000002,2.5225726242903703,3,2.446895445561659,Iasmin,riad,Saudi Arabia
65,2017-1-23,Bugatti Veyron by Mansory Vivere,brown,gold,2.6239500000000002,2.590577276203063,0,2.590577276203063,Nadia,riad,Saudi Arabia
66,2017-1-8,Bugatti Chiron,brown,silver,2.2380750000000003,2.212187685183782,2,2.167943931480106,Isa,riad,Saudi Arabia
67,2017-1-11,Bugatti Chiron,black,white,2.0705999999999998,2.0392835291928435,3,1.9781050233170583,Aisha,riad,Saudi Arabia
68,2017-1-9,McLaren P1 LM,black,white,2.6418,2.60481187493868,2,2.5527156374399063,Aisha,riad,Saudi Arabia
69,2017-1-20,Bugatti Chiron,black,black,2.03,2.009067655980932,3,1.9487956263015043,Isa,riad,Saudi Arabia
70,2017-1-14,Koenigsegg CCXR Trevita,white,white,3.495744,3.4464968182560347,3,3.3431019137083537,Soraia,riad,Saudi Arabia
71,2017-1-2,Lamborghini Veneno Roadster,brown,gold,3.472875,3.430476910559308,3,3.3275626032425287,Laila,riad,Saudi Arabia
72,2017-1-24,Rolls-Royce Sweptail,black,white,9.139199999999999,9.007614523694494,1,8.91753837845755,Isa,riad,Saudi Arabia
73,2017-1-10,W Motors Lykan Hypersport,red,gold,2.6239500000000002,2.599283454659396,2,2.547297785566208,Nadia,riad,Saudi Arabia
74,2017-1-16,Ferrari Pininfarina Sergio,white,black,2.1419999999999995,2.1144255284730034,2,2.072137017903543,Jamile,riad,Saudi Arabia
75,2017-1-17,Ferrari Pininfarina Sergio,white,white,2.1848399999999994,2.1508564716330696,1,2.1293479069167387,Isa,riad,Saudi Arabia
76,2017-1-7,Ferrari Pininfarina Sergio,white,silver,2.2490999999999994,2.2183646207261942,0,2.2183646207261942,Nadia,riad,Saudi Arabia
77,2017-1-11,McLaren P1 LM,white,black,2.6418,2.601501659718611,3,2.523456609927053,Nadia,riad,Saudi Arabia
78,2017-1-22,W Motors Lykan Hypersport,white,white,2.476152,2.4502826310673798,0,2.4502826310673798,Iasmin,riad,Saudi Arabia
79,2017-1-4,Bugatti La Voiture Noire,red,white,14.01939,13.890407308999722,2,13.612599162819727,Fatima,riad,Saudi Arabia
80,2017-2-23,McLaren P1 LM,brown,silver,2.855475,2.8210314365592004,0,2.8210314365592004,Luísa,sao paulo,brazil
81,2017-2-22,Lamborghini Veneno Roadster,red,blue,3.472875,3.4199127983681845,1,3.3857136703845025,Helena,sao paulo,brazil
82,2017-2-15,Bugatti Chiron,white,red,2.17413,2.1416238128703897,3,2.077375098484278,Helena,sao paulo,brazil
83,2017-2-24,Bugatti La Voiture Noire,red,gold,14.431724999999998,14.214886574532828,2,13.930588843042171,Heloísa,sao paulo,brazil
84,2017-2-4,Bugatti Veyron by Mansory Vivere,white,white,2.476152,2.447085915632658,0,2.447085915632658,Sophia,sao paulo,brazil
85,2017-2-9,McLaren P1 LM,red,silver,2.855475,2.813220304522519,1,2.7850881014772937,Luísa,sao paulo,brazil
86,2017-2-13,Koenigsegg CCXR Trevita,white,black,3.4272,3.3749002964408334,1,3.341151293476425,Manuela,sao paulo,brazil
87,2017-2-21,Bugatti Veyron by Mansory Vivere,red,red,2.6239500000000002,2.599844406913567,1,2.5738459628444312,Helena,sao paulo,brazil
88,2017-2-2,McLaren P1 LM,red,red,2.855475,2.814072454250163,0,2.814072454250163,Helena,sao paulo,brazil
89,2017-2-5,W Motors Lykan Hypersport,black,blue,2.499,2.4659631505923643,3,2.3919842560745934,Heloísa,sao paulo,brazil
90,2017-2-14,Lamborghini Veneno Roadster,brown,silver,3.472875,3.4325977276155855,3,3.329619795787118,Isabella,sao paulo,brazil
91,2017-2-14,Bugatti La Voiture Noire,red,white,14.01939,13.829832997419647,1,13.69153466744545,Helena,sao paulo,brazil
92,2017-2-17,Bugatti Veyron by Mansory Vivere,red,red,2.6239500000000002,2.5889902870498225,2,2.537210481308826,Helena,sao paulo,brazil
93,2017-2-20,Bugatti Chiron,red,white,2.17413,2.140653504565812,3,2.076433899428838,Heloísa,sao paulo,brazil
94,2017-2-18,McLaren P1 LM,white,gold,2.77389,2.7494425167569854,1,2.7219480915894154,Manuela,sao paulo,brazil
95,2017-2-7,McLaren P1 LM,black,silver,2.7195,2.684958070987635,0,2.684958070987635,Heloísa,sao paulo,brazil
96,2017-2-24,Koenigsegg CCXR Trevita,black,silver,3.528,3.480380586429521,2,3.4107729747009308,Sophia,sao paulo,brazil
97,2017-2-22,Bugatti Chiron,black,silver,2.1315,2.101920488145914,2,2.059882078382996,Heloísa,sao paulo,brazil
98,2017-2-13,Ferrari Pininfarina Sergio,black,red,2.2049999999999996,2.175179295545806,2,2.13167570963489,Laura,sao paulo,brazil
99,2017-2-2,Koenigsegg CCXR Trevita,black,white,3.4272,3.3903977208877554,3,3.2886857892611228,Luísa,sao paulo,brazil
100,2017-2-6,Lamborghini Veneno Roadster,red,white,3.37365,3.3409159932857593,3,3.2406885134871866,Heloísa,sao paulo,brazil
101,2017-2-16,McLaren P1 LM,brown,white,2.77389,2.732447215136959,3,2.6504737986828504,Miguel,toronto,canada
102,2017-2-4,Bugatti La Voiture Noire,white,red,14.01939,13.896305161909186,0,13.896305161909186,Lorenzo,toronto,canada
103,2017-2-1,Lamborghini Veneno Roadster,brown,silver,3.472875,3.435284158393537,3,3.332225633641731,Davi,toronto,canada
104,2017-2-11,Koenigsegg CCXR Trevita,white,white,3.495744,3.4506416487757328,1,3.416135232287975,Pedro,toronto,canada
105,2017-2-10,McLaren P1 LM,red,gold,2.855475,2.830090287566529,3,2.7451875789395332,Théo,toronto,canada
106,2017-2-23,Lamborghini Veneno Roadster,white,blue,3.37365,3.3435622834016896,0,3.3435622834016896,Samuel,toronto,canada
107,2017-2-18,McLaren P1 LM,black,silver,2.7195,2.6834076538573184,0,2.6834076538573184,Bernardo,toronto,canada
108,2017-2-13,Koenigsegg CCXR Trevita,red,white,3.59856,3.555125320678384,3,3.4484715610580325,Bernardo,toronto,canada
109,2017-2-18,Bugatti La Voiture Noire,black,blue,13.744499999999999,13.621916974682955,3,13.213259465442468,Lorenzo,toronto,canada
110,2017-2-23,Rolls-Royce Sweptail,black,red,9.408,9.326310461428923,2,9.139784252200345,Matheus,toronto,canada
111,2017-2-16,Bugatti Chiron,red,white,2.17413,2.150980604346975,0,2.150980604346975,Miguel,toronto,canada
112,2017-2-7,Rolls-Royce Sweptail,black,gold,9.408,9.304969282961887,0,9.304969282961887,Arthur,toronto,canada
113,2017-2-12,Bugatti Veyron by Mansory Vivere,brown,blue,2.6239500000000002,2.5974132915963457,1,2.5714391586803824,Joaquim,lisboa,portugal
114,2017-2-21,Koenigsegg CCXR Trevita,red,black,3.528,3.479343608568098,1,3.4445501724824172,Isaac,lisboa,portugal
115,2017-2-4,McLaren P1 LM,black,black,2.59,2.563214862094889,0,2.563214862094889,Isaac,lisboa,portugal
116,2017-2-13,Rolls-Royce Sweptail,brown,red,9.8784,9.761983138729086,3,9.469123644567214,Isaac,lisboa,portugal
117,2017-2-11,Lamborghini Veneno Roadster,red,gold,3.472875,3.4288259397172216,0,3.4288259397172216,Isaac,lisboa,portugal
118,2017-2-5,Lamborghini Veneno Roadster,red,blue,3.472875,3.420681276828055,3,3.318060838523213,Joaquim,lisboa,portugal
119,2017-2-8,Bugatti La Voiture Noire,red,gold,14.431724999999998,14.223757670330372,2,13.939282516923765,Joaquim,lisboa,portugal
120,2017-2-8,Bugatti Chiron,brown,gold,2.2380750000000003,2.204392809632171,3,2.1382610253432057,Rafael,lisboa,portugal
121,2017-2-14,Rolls-Royce Sweptail,black,silver,9.408,9.313971158711176,1,9.220831447124064,Joaquim,lisboa,portugal
122,2017-2-18,Bugatti La Voiture Noire,red,blue,14.431724999999998,14.24888348556186,0,14.24888348556186,Rafael,lisboa,portugal
123,2017-2-18,Bugatti La Voiture Noire,black,white,13.351799999999999,13.23202025537238,2,12.967379850264932,Nicolas,lisboa,portugal
124,2017-2-7,Ferrari Pininfarina Sergio,white,gold,2.2490999999999994,2.225499129555192,2,2.1809891469640883,Isaac,lisboa,portugal
125,2017-2-3,McLaren P1 LM,white,black,2.6418,2.6062690418541377,3,2.5280809705985137,Isaac,lisboa,portugal
126,2017-2-2,W Motors Lykan Hypersport,white,black,2.4276,2.4055373893743677,0,2.4055373893743677,Isaac,lisboa,portugal
127,2017-2-23,Lamborghini Veneno Roadster,red,silver,3.472875,3.4297585941441437,0,3.4297585941441437,Rafael,lisboa,portugal
128,2017-2-2,Aston Martin Valkyrie,brown,white,2.39904,2.3752108032211985,1,2.3514586951889864,Soraia,riad,Saudi Arabia
129,2017-2-23,Bugatti Chiron,brown,silver,2.2380750000000003,2.205687674346897,2,2.161573920859959,Jamile,riad,Saudi Arabia
130,2017-2-1,W Motors Lykan Hypersport,red,gold,2.6239500000000002,2.600047040690123,0,2.600047040690123,Jamile,riad,Saudi Arabia
131,2017-2-6,Koenigsegg CCXR Trevita,white,gold,3.59856,3.5604163287714634,0,3.5604163287714634,Jamile,riad,Saudi Arabia
132,2017-2-21,Ferrari Pininfarina Sergio,brown,blue,2.31525,2.2927596619412784,1,2.2698320653218658,Jamile,riad,Saudi Arabia
133,2017-2-4,Aston Martin Valkyrie,red,white,2.39904,2.3675405533413296,0,2.3675405533413296,Fatima,riad,Saudi Arabia
134,2017-2-18,W Motors Lykan Hypersport,black,white,2.4276,2.3978517441161644,1,2.373873226675003,Isa,riad,Saudi Arabia
135,2017-2-8,Aston Martin Valkyrie,white,red,2.39904,2.366927582210524,2,2.319589030566313,Fatima,riad,Saudi Arabia
136,2017-2-23,W Motors Lykan Hypersport,red,gold,2.6239500000000002,2.594212292701589,1,2.568270169774573,Fatima,riad,Saudi Arabia
137,2017-2-6,Lamborghini Veneno Roadster,brown,red,3.472875,3.4305961437956607,2,3.3619842209197475,Fatima,riad,Saudi Arabia
138,2017-2-9,Ferrari Pininfarina Sergio,white,blue,2.2490999999999994,2.227639971472246,1,2.2053635717575237,Fatima,riad,Saudi Arabia
139,2017-2-8,Koenigsegg CCXR Trevita,white,black,3.4272,3.3957811300413026,2,3.3278655074404764,Fatima,riad,Saudi Arabia
140,2017-2-9,McLaren P1 LM,brown,red,2.855475,2.8302677044799394,2,2.7736623503903406,Jamile,riad,Saudi Arabia
141,2017-2-2,Aston Martin Valkyrie,brown,silver,2.4696,2.4473577485592766,3,2.373937016102498,Aisha,riad,Saudi Arabia
142,2017-2-21,Aston Martin Valkyrie,brown,silver,2.4696,2.441131973376424,2,2.392309333908895,Iasmin,riad,Saudi Arabia
143,2017-2-23,Aston Martin Valkyrie,brown,silver,2.4696,2.4464892011152215,0,2.4464892011152215,Nadia,riad,Saudi Arabia
144,2017-2-12,Ferrari Pininfarina Sergio,brown,blue,2.31525,2.2866779244233535,3,2.218077586690653,Nadia,riad,Saudi Arabia
145,2017-2-2,Bugatti Veyron by Mansory Vivere,red,white,2.5489800000000002,2.5177648638163994,2,2.4674095665400713,Jamile,riad,Saudi Arabia
146,2017-2-16,Bugatti La Voiture Noire,white,red,14.01939,13.853138108476324,3,13.437543965222035,Nadia,riad,Saudi Arabia
147,2017-2-5,Koenigsegg CCXR Trevita,red,black,3.528,3.4799675168746687,0,3.4799675168746687,Iasmin,riad,Saudi Arabia
148,2017-3-11,W Motors Lykan Hypersport,black,white,2.4276,2.391210406444187,0,2.391210406444187,Luísa,sao paulo,brazil
149,2017-3-15,Bugatti Chiron,white,black,2.0705999999999998,2.04066444432975,2,1.9998511554431548,Laura,sao paulo,brazil
150,2017-3-21,W Motors Lykan Hypersport,red,gold,2.6239500000000002,2.590484848278556,0,2.590484848278556,Manuela,sao paulo,brazil
151,2017-3-13,W Motors Lykan Hypersport,red,silver,2.6239500000000002,2.5999991561858766,3,2.5219991815003002,Alice,sao paulo,brazil
152,2017-3-1,McLaren P1 LM,black,blue,2.7195,2.6941115020469555,2,2.6402292720060165,Manuela,sao paulo,brazil
153,2017-3-18,Bugatti La Voiture Noire,black,blue,13.744499999999999,13.590564146251229,2,13.318752863326203,Luísa,sao paulo,brazil
154,2017-3-12,Bugatti Chiron,black,white,2.0705999999999998,2.04524834470479,1,2.024795861257742,Luísa,sao paulo,brazil
155,2017-3-8,W Motors Lykan Hypersport,black,white,2.4276,2.4033757514296825,2,2.355308236401089,Heloísa,sao paulo,brazil
156,2017-3-20,McLaren P1 LM,red,red,2.855475,2.821965419215438,1,2.7937457650232838,Laura,sao paulo,brazil
157,2017-3-22,Bugatti Chiron,white,blue,2.17413,2.153962754988227,3,2.08934387233858,Helena,sao paulo,brazil
158,2017-3-5,Bugatti La Voiture Noire,brown,silver,14.431724999999998,14.249229313802624,1,14.106737020664598,Laura,sao paulo,brazil
159,2017-3-13,McLaren P1 LM,white,blue,2.77389,2.734884579215608,2,2.680186887631296,Manuela,sao paulo,brazil
160,2017-3-11,Lamborghini Veneno Roadster,brown,gold,3.472875,3.4415262047144286,1,3.4071109426672845,Giovanna,new york,united state
161,2017-3-22,Bugatti Veyron by Mansory Vivere,black,silver,2.499,2.467473772888334,1,2.4427990351594504,Liz,new york,united state
162,2017-3-2,Lamborghini Veneno Roadster,red,red,3.472875,3.4347578525552143,3,3.331715116978558,Maitê,new york,united state
163,2017-3-7,Rolls-Royce Sweptail,brown,silver,9.8784,9.726066537671397,1,9.628805872294683,Maitê,new york,united state
164,2017-3-1,W Motors Lykan Hypersport,brown,gold,2.6239500000000002,2.5912605953506733,0,2.5912605953506733,Lívia,new york,united state
165,2017-3-2,Bugatti La Voiture Noire,white,red,14.01939,13.826422725394686,1,13.688158498140739,Liz,new york,united state
166,2017-3-3,Lamborghini Veneno Roadster,red,white,3.37365,3.3344857877012832,0,3.3344857877012832,Maitê,new york,united state
167,2017-3-4,Bugatti Chiron,white,silver,2.17413,2.150056672169708,1,2.128556105448011,Maria Luísa,new york,united state
168,2017-3-8,McLaren P1 LM,brown,black,2.7195,2.682166811072074,1,2.655345142961353,Lorena,new york,united state
169,2017-3-2,Bugatti La Voiture Noire,black,black,13.089999999999998,12.934128388912482,0,12.934128388912482,Liz,new york,united state
170,2017-3-5,W Motors Lykan Hypersport,black,gold,2.499,2.475216900705903,3,2.4009603936847257,Maitê,new york,united state
171,2017-3-19,Bugatti Veyron by Mansory Vivere,brown,gold,2.6239500000000002,2.594130637138452,3,2.5163067180242984,Liz,new york,united state
172,2017-3-13,Koenigsegg CCXR Trevita,white,silver,3.59856,3.563652719548879,1,3.52801619235339,Maria Luísa,new york,united state
173,2017-3-15,W Motors Lykan Hypersport,brown,blue,2.6239500000000002,2.582143025284833,1,2.556321595031985,Eloá,new york,united state
174,2017-3-11,McLaren P1 LM,brown,gold,2.855475,2.8210046878162056,3,2.7363745471817196,Júlia,new york,united state
175,2017-3-4,Lamborghini Veneno Roadster,red,white,3.37365,3.337388984405037,0,3.337388984405037,Liz,new york,united state
176,2017-3-15,McLaren P1 LM,red,silver,2.855475,2.8210468697086535,0,2.8210468697086535,Mariana,new york,united state
177,2017-3-2,Bugatti Chiron,black,silver,2.1315,2.1113089368318128,1,2.0901958474634945,Maitê,new york,united state
178,2017-3-3,Rolls-Royce Sweptail,brown,red,9.8784,9.775157324223164,0,9.775157324223164,Lorena,new york,united state
179,2017-3-20,McLaren P1 LM,red,white,2.77389,2.73569905779904,3,2.6536280860650687,Júlia,new york,united state
180,2017-3-21,Rolls-Royce Sweptail,white,black,9.139199999999999,9.005078341915851,0,9.005078341915851,Lorena,new york,united state
181,2017-3-15,Koenigsegg CCXR Trevita,white,silver,3.59856,3.547466033258299,0,3.547466033258299,Maitê,new york,united state
182,2017-3-15,Lamborghini Veneno Roadster,red,gold,3.472875,3.43350364103983,1,3.399168604629432,Maria Luísa,new york,united state
183,2017-3-8,Lamborghini Veneno Roadster,white,gold,3.37365,3.32917216109505,2,3.262588717873149,Miguel,toronto,canada
184,2017-3-16,Bugatti La Voiture Noire,white,red,14.01939,13.83502682944249,0,13.83502682944249,Benício,toronto,canada
185,2017-3-2,McLaren P1 LM,white,black,2.6418,2.609960073315473,0,2.609960073315473,Théo,toronto,canada
186,2017-3-19,Bugatti Chiron,black,silver,2.1315,2.1030416670226972,1,2.0820112503524704,Matheus,toronto,canada
187,2017-3-12,Bugatti La Voiture Noire,brown,gold,14.431724999999998,14.208664700638753,2,13.924491406625977,Gael,toronto,canada
188,2017-3-9,Rolls-Royce Sweptail,black,white,9.139199999999999,8.999086566714558,2,8.819104835380267,Benjamin,toronto,canada
189,2017-3-4,Rolls-Royce Sweptail,red,red,9.8784,9.77143503775557,1,9.673720687378013,Lucas,toronto,canada
190,2017-3-4,Bugatti Chiron,black,blue,2.1315,2.109032280784376,0,2.109032280784376,Lorenzo,toronto,canada
191,2017-3-17,Bugatti Chiron,white,red,2.17413,2.148560547264858,2,2.105589336319561,Matheus,toronto,canada
192,2017-3-2,Ferrari Pininfarina Sergio,white,silver,2.2490999999999994,2.2267328807295153,1,2.2044655519222203,Gabriel,toronto,canada
193,2017-3-10,Ferrari Pininfarina Sergio,brown,silver,2.31525,2.292666473840957,3,2.2238864796257283,Gael,toronto,canada
194,2017-3-7,Bugatti La Voiture Noire,white,blue,14.01939,13.88212099160684,0,13.88212099160684,Arthur,toronto,canada
195,2017-3-19,Bugatti Veyron by Mansory Vivere,white,blue,2.5489800000000002,2.5132658942335673,2,2.463000576348896,Davi,toronto,canada
196,2017-3-19,Koenigsegg CCXR Trevita,black,white,3.4272,3.3766218423619803,1,3.3428556239383607,Davi,toronto,canada
197,2017-3-19,Ferrari Pininfarina Sergio,black,blue,2.2049999999999996,2.181464788417405,3,2.116020844764883,Nicolas,lisboa,portugal
198,2017-3-15,Bugatti La Voiture Noire,black,white,13.351799999999999,13.158656433572823,1,13.027069869237094,Henrique,lisboa,portugal
199,2017-3-1,Aston Martin Valkyrie,white,red,2.39904,2.3734421134640957,1,2.3497076923294546,Isaac,lisboa,portugal
200,2017-3-2,W Motors Lykan Hypersport,white,blue,2.5489800000000002,2.5211362742871612,3,2.4455021860585466,Isaac,lisboa,portugal
201,2017-3-3,Lamborghini Veneno Roadster,brown,gold,3.472875,3.4305210747631327,3,3.327605442520239,Henrique,lisboa,portugal
202,2017-3-1,Bugatti Chiron,black,red,2.1315,2.111744563309263,3,2.048392226409985,Joaquim,lisboa,portugal
203,2017-3-3,Lamborghini Veneno Roadster,white,white,3.27726,3.236849055125909,2,3.172112074023391,Joaquim,lisboa,portugal
204,2017-3-18,Bugatti Veyron by Mansory Vivere,brown,blue,2.6239500000000002,2.5939533766071525,2,2.5420743090750095,Fatima,riad,Saudi Arabia
205,2017-3-12,Ferrari Pininfarina Sergio,red,red,2.31525,2.282589312479484,3,2.2141116331050994,Laila,riad,Saudi Arabia
206,2017-3-12,Lamborghini Veneno Roadster,brown,white,3.37365,3.3381241920903286,3,3.2379804663276186,Fatima,riad,Saudi Arabia
207,2017-3-5,Ferrari Pininfarina Sergio,red,white,2.2491,2.2148866277984305,1,2.192737761520446,Isa,riad,Saudi Arabia
208,2017-3-6,Bugatti Chiron,brown,gold,2.2380750000000003,2.203028134364369,3,2.1369372903334383,Nadia,riad,Saudi Arabia
